ID,Î±,Cluster
1.0,1.0085890603849683,3.0
2.0,0.4783882998124472,2.0
3.0,1.0418690702103461,3.0
4.0,1.4286647083824566,1.0
5.0,0.8075373411537383,3.0
6.0,0.7745136535551662,3.0
7.0,1.0223341322364266,3.0
8.0,1.4117534908206495,1.0
9.0,1.2052504598695695,1.0
10.0,1.3670545350174845,1.0
11.0,0.9349726807763425,3.0
12.0,1.184338161089371,1.0
13.0,0.8040844816010004,3.0
14.0,0.3531306001962371,2.0
15.0,0.7832652385845706,3.0
16.0,0.7983775553863255,3.0
17.0,0.8372055530669341,3.0
18.0,0.7205909318598892,3.0
19.0,1.1917081292020013,1.0
20.0,1.1884499084702154,1.0
21.0,0.4574784189795163,2.0
22.0,0.33097779661818283,2.0
23.0,1.3914114731821277,1.0
24.0,0.8977418838145323,3.0
25.0,1.0420027084351526,3.0
26.0,0.9477160390741844,3.0
27.0,0.8910826922158945,3.0
